Symbol	KmeansGroup	FoldChangeQ95	MmLDSmExp1	MmLDSmExp2	MmLDSmExp3	MmLDSmExp4	MmLDSmExp5	MmLDSmExp6	MmLDSmExp8	MmLDSmExp9	MmLDSmExp10	MmLDSmExp11	MmLDSmExp12	MmLDSmExp13	MmLDSmExp15	MmLDSmExp16	MmLDSmExp17	MmLDSmExp18	MmLDSmExp19	MmLDSmExp20	MmLDSmExp21	MmLDSmExp22	MmLDSmExp23	MmLDSmExp24	MmLDSmExp25	MmLDSmExp26	MmLDSmExp27	MmLDSmExp29	MmLDSmExp33	MmLDSmExp36	MmLDSmExp37	MmLDSmExp38	MmLDSmExp41	MmLDSmExp43	MmLDSmExp44	MmLDSmExp45	MmLDSmExp46	MmLDSmExp48	MmLDSmExp50
ENSG00000011007	TCEB3	1	2.395805575	-0.242453212	-0.896498985	-0.912495977	-0.065088875	0.820921074	-0.980794663	0.242221975	-0.946653214	0.864722791	-0.019546169	0.20968421	1.133442012	0.174997963	0.61494602	0.002835466	0.507157609	-0.991597078	-0.574652515	0.013601735	0.161005678	0.842860225	0.741636608	-0.356007336	-0.820473525	0.636865367	0.831343743	-0.890545469	-0.850117845	2.703152198	-0.827000676	-1.284852739	-1.310415409	1.325812255	0.301594404	-1.502842987	-1.57380073	0.521230497
ENSG00000013441	CLK1	1	2.508334974	-0.181904435	0.762479833	0.486797155	-0.313719228	-0.888418829	1.751175059	-0.573267431	-1.004376989	1.417056135	0.720022791	0.1108882	-0.420576421	-0.1224775	1.08172218	0.835174976	0.320291233	0.006683143	0.770133367	0.888141324	1.159561777	0.662564623	0.378527484	-0.29667456	1.066234177	-1.072326617	0.35767923	-0.360820326	0.616019944	-1.053016354	-1.200845167	-1.22900477	-1.302163334	-0.348338858	-1.300713096	-1.373791449	-1.382652381	-1.47439986
ENSG00000015479	MATR3	1	2.700293648	-1.44857292	0.783742521	0.302889223	-0.54575597	0.129304427	-1.879023756	0.570063018	0.436972996	-0.080332153	0.4551722	0.368403441	0.319547644	-0.080618141	0.09337983	0.245655193	0.223360967	-1.472903574	-0.176990178	-0.405079886	0.9222663	0.571669559	0.352381045	0.872196321	0.582364208	0.692061906	0.87198315	-1.901558472	0.348874481	-2.310407326	-2.083174779	0.485511373	0.534736732	-0.89860981	0.524331983	-0.523411884	-0.328480036	0.74775672
ENSG00000023516	AKAP11	1	2.415083568	-0.612068103	-0.384958008	0.389839314	-0.582802582	-1.15352803	-1.252316098	-0.056433784	0.174850465	0.502860839	0.356500368	0.471609926	0.216922126	0.180273527	0.707035863	0.562713724	0.183625382	0.902970961	0.34419516	0.236685234	-0.23835461	0.426036096	0.204837476	-0.028336168	-1.351389872	-0.587522474	-0.019882748	0.221779115	-1.526224973	0.732301347	-1.563220657	-1.649356852	2.777306198	0.53171	-1.121326803	0.560076838	-1.922291661	0.950799896
ENSG00000025156	HSF2	1	2.528111383	-0.812569788	-0.616600447	0.853330865	-1.215357538	-0.872483111	-1.366699538	-1.186604726	0.841834424	-0.060658683	-0.236933798	-0.284336856	0.761589783	-0.345223385	-0.021508791	0.524603023	0.327520179	0.453814016	0.162303543	0.401496965	-0.360781978	-0.044378368	0.275526249	1.560535015	0.81256577	-0.236973091	0.143549563	-1.345505362	-1.551173751	-1.443309585	-1.582510798	0.811996242	0.600349183	-0.943135734	0.497793756	1.653094808	-0.57852456	1.895255121
ENSG00000028839	TBPL1	1	2.389372922	-0.422987548	-0.449217459	0.669883117	-0.683915586	1.519639541	-0.519035971	-0.685220253	2.125469628	0.608865457	0.218111296	0.192701788	0.456082455	-0.430527143	0.537996392	0.117626437	0.095837111	0.966908725	-0.781138844	1.110070848	0.938183058	1.000634226	1.128240777	1.310060844	-0.775574485	-0.035526637	0.884994986	-0.876368431	-0.922248228	-0.902677035	-0.958501398	-0.998955192	-1.104053231	-1.054423557	-0.900495057	-1.206954228	-1.274659743	-1.288199578
ENSG00000046774	MAGEC2	1	2.54250537	-0.991954146	-0.746255228	-0.627202278	0.327990205	-1.218248967	-1.037858784	0.218048785	-0.331442973	0.62267602	-0.949608585	0.36849987	0.666704645	0.985475345	-0.152924297	1.175826087	1.046842689	-1.166177691	-0.014134114	1.145695286	1.085444549	0.841980174	0.718024206	0.284651721	0.355843638	0.891656369	0.600257451	-0.589620763	-0.449116875	-1.392736069	-1.143632684	-1.341907937	1.482014316	-1.015606166	-0.362502798	-1.431961526	1.007110195	-1.404355042
ENSG00000064703	DDX20	1	2.506271127	-0.141026232	-0.948315343	0.138796655	-0.509848135	-1.048992717	-1.072917885	-0.733569471	0.585516093	0.997722175	0.068471323	0.038567509	-0.193327308	-0.174117396	0.062411743	-0.012655068	0.183410618	-1.170459453	0.286404158	1.558578837	0.003853098	0.056522126	0.935015123	1.138243514	-0.160649108	1.342258368	0.206116221	-1.092383888	1.005378343	-1.236755304	-1.298738285	-1.273360912	1.935465139	-1.416290522	-0.507561181	0.414029677	1.182124251	-1.654187889
ENSG00000066422	ZBTB11	1	2.480680074	-0.496482759	-0.192798421	-0.822830921	-0.899166245	2.398954577	-0.841263498	-0.404919236	1.636448991	-0.030206068	-0.282071018	0.319028513	0.577825628	1.333232041	0.521621019	0.766301465	0.653952351	0.286997287	-0.589121956	0.311586939	0.34498154	-0.129165319	0.907640891	-0.299235265	0.628661332	-0.378145897	1.103231755	-1.043129357	-1.088771458	-1.068340948	-1.124836807	-1.165081016	-1.269635349	-0.329001299	-1.293281641	-0.069952175	1.062078892	-1.515786638
ENSG00000066777	ARFGEF1	1	2.685583479	-0.429723558	-0.294212347	0.192521173	-0.016451688	-0.537872596	0.352552413	-0.150797689	-0.308103329	0.638470755	0.006424155	0.679089077	0.896977197	1.07746789	0.298907144	1.024733534	0.553868048	0.705829754	1.199501443	0.970729794	0.742504241	1.398095626	0.160894365	0.924727534	-0.9853604	-1.021042761	1.006190055	-1.09847556	-1.147444231	-1.089016195	-0.823150876	-0.017447068	-1.440043253	-1.470614274	-0.921419334	-1.604035674	-0.373848446	-1.786008394
ENSG00000068078	FGFR3	1	2.669644545	-0.012545543	-0.453469725	-0.441684318	-0.287707728	-0.557059691	-0.562906726	1.052547533	2.077308881	1.457642401	0.256163597	0.521335332	0.876283977	1.488471701	0.956465757	-0.220511058	0.751799906	1.337538157	0.642251286	-0.377276317	-0.490673192	-0.026320821	0.545766582	-0.497946745	-0.680199106	0.860871054	0.380451923	-0.790857476	-0.853282124	-0.938180637	-0.902608658	-0.957650615	-1.100648373	-1.079441545	-1.038660096	-1.240656808	-0.926946131	-1.4373092
